,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,spotify_id
"('One Way Out', 'The Allman Brothers Band')",0.553,0.555,296147,0.734,0.0222,9,0.873,-8.913,1,0.0517,106.894,4,0.737,0fGpSZXgMLw8dEc9bF8qVv
"('Sparrow', 'Attack In Black')",0.844,0.527,155240,0.442,0,9,0.179,-8.482,1,0.0281,92.567,4,0.51,6pWi7LN87x0uuwVyJsaXqE
"('Då Går Jag Ned Under Källaren', 'Cacka Israelsson')",0.65,0.336,165293,0.307,1.52e-06,0,0.108,-11.289,1,0.0332,77.176,4,0.503,3rJ2TXOcduWAak9ODgKpA0
"('Stay Awake', 'Carla Bley')",0.914,0.4,91467,0.304,0.000167,0,0.123,-14.548,0,0.0445,79.952,4,0.197,2UtvYoRb1rPAJ5Cq49jnGf
"('Turning Into Betty', 'Lisa Germano')",0.845,0.374,262133,0.417,0.516,0,0.137,-13.227,1,0.0394,116.827,4,0.0988,56fOGGgnZ0EZL0iztlbZ6w
"('The King Must Die', 'Elton John')",0.42,0.429,306250,0.408,0.000411,9,0.148,-10.372,0,0.0397,142.331,4,0.245,5aZWzadLEprtlv0ylYyruD
"('Older', 'They Might Be Giants')",0.611,0.912,118067,0.272,5.95e-05,2,0.0671,-11.128,1,0.104,115.992,4,0.579,3mizoVo4P1JdTaljSuzFj8
"('Are We Ourselves?', 'The Fixx')",0.00775,0.637,149267,0.753,0.00383,7,0.261,-10.839,1,0.0459,139.279,4,0.971,2JSHi2oUAuGsQ1cq5fyvPa
"('Cardiff In The Sun', 'Super Furry Animals')",0.000492,0.54,496000,0.677,0.77,7,0.159,-7.766,1,0.0386,120.001,4,0.212,1Wtv7Hd9JHOpbvxsUE8UWL
"('Weidorje', 'Magma')",0.602,0.61,272693,0.698,0.488,3,0.126,-15.333,1,0.028,92.911,4,0.25,4zYARITVntlJglifTA8RIK
"('Hung Up', 'Paul Weller')",0.0981,0.309,160133,0.645,0.000245,5,0.104,-11.169,1,0.0442,160.74,4,0.547,1axZqdSADLc3rNawEHRocj
"('Golden Cage', 'The Whitest Boy Alive')",0.137,0.835,242440,0.693,0.492,4,0.136,-6.521,0,0.0374,119.699,4,0.929,6L4ZU09mKnKaPq25xWHht6
"('Our Farewell', 'Within Temptation')",0.882,0.476,319706,0.225,0.00233,4,0.0975,-11.883,1,0.033,115.006,4,0.0709,2ALJmbll6o26pWXbS9nhpJ
"('Listerine', 'Kristin Hersh')",0.0223,0.632,286640,0.416,0.00729,7,0.0817,-7.453,1,0.024,104.989,4,0.125,0dnpxeGVgGddqS9lXSs4Ak
"('Laburnum', 'Jakob')",0.254,0.37,470187,0.468,0.859,3,0.0801,-11.176,1,0.0281,108.919,4,0.0762,6gZ6vwpTBV1p7zcBUNIIye
"('Saturdays (Reprise)', 'Cut Copy')",0.0512,0.653,91440,0.668,0.557,8,0.0909,-13.954,1,0.0326,120.271,4,0.901,5tZdCsGUjvoRz4xpsbMzhK
"('Apologize', 'Solitary Experiments')",0.112,0.559,342560,0.887,0.0168,2,0.4,-5.482,0,0.0397,172.019,4,0.625,1zDjmJrmCtLDZOD7kaY5nO
"('Swing', 'Ani Difranco')",0.493,0.853,370027,0.679,3.88e-05,5,0.116,-9.442,0,0.141,91.829,4,0.56,4FcpCdqGjleaRZBFvVcHmq
"('Miss Spiritual Tramp', 'Blitzen Trapper')",0.0064,0.483,179307,0.891,0.304,11,0.0997,-4.14,0,0.0625,98.128,4,0.636,0sM6f1iSriuNzjY2opDjHV
"('Truth Hides', 'Asian Dub Foundation')",0.000493,0.604,500893,0.783,0.13,7,0.376,-5.67,0,0.0303,124.786,4,0.414,13Gp6lqi8gwgpUS2Qzmqf0
"('Take Me Away', 'Avril Lavigne')",0.00138,0.511,177600,0.892,0.00029,4,0.198,-2.489,0,0.0343,99.101,4,0.255,4e8HF8QcD4HlfgRT6TGDlO
"(""Letsagetabitarockin'"", 'The 101Ers')",0.0252,0.346,128333,0.971,0,4,0.177,-7.801,1,0.054,194.543,4,0.81,5gz6Xg9m6LDU76L7xL3D6w
"('Triplets', 'The Drips')",2e-05,0.458,73547,0.953,0.919,9,0.0944,-4.292,0,0.105,124.248,4,0.943,0AGq0GDMtqkLsUn63zZAtO
"('Always', 'Aysel & Arash')",0.972,0.585,215250,0.0548,0,3,0.1,-16.079,0,0.0344,79.901,5,0.24,1104ZkH1GSXJLd0PP9pJAd
"('Star Witness', 'Neko Case')",0.513,0.305,316507,0.58,3.2e-06,2,0.128,-6.272,1,0.0329,184.462,3,0.343,17fWdcSAhLc6559youmLap
"('Escapade', 'Janet Jackson')",0.0264,0.815,283934,0.944,0.00038,1,0.181,-6.698,1,0.0513,115.219,4,0.682,5HAv1Ckfe50DUjv8ghwTrz
"('With Different Eyes', 'The Eyes Of A Traitor')",0.000145,0.393,231933,0.955,0.0407,0,0.0945,-4.681,0,0.181,74.941,4,0.0798,2Fc9Njg2ls4afNYfXlNrOC
"('No Destiny', 'Monster Squad')",0.000418,0.345,166400,0.939,0.000667,7,0.0589,-5.089,1,0.132,96.886,4,0.115,2g9ncsOFanueAKqHsOjsEx
"('Tout Ceci Ne Vous Rendra Pas Le Congo', 'Baloji')",0.573,0.702,250013,0.712,0,5,0.252,-5.537,0,0.123,93.995,4,0.889,3wOrQMc0rSEk8Y6bzta1PE
"('Time After Time', 'Soul Central Feat. Abigail Bailey')",0.00994,0.735,399693,0.423,0.759,8,0.0806,-9.729,1,0.0616,126.47,4,0.575,45Z6d1DyniiBmnLwepN9KH
"('Peter & Judas (A.K.A. Satan Side)', 'Earl Flute & Horace Andy')",0.109,0.906,154987,0.445,0,9,0.139,-9.256,0,0.0748,125.912,4,0.855,4iOKEl4La8Ek6dwpVoA0MW
"('Up All Night', 'Razorlight')",0.000151,0.253,144853,0.909,0.0129,2,0.0831,-3.56,1,0.0591,166.356,4,0.711,4iYryTlToiBytqu2GSIMAc
"('Barons Of Suburbia', 'Tori Amos')",0.666,0.46,320413,0.621,8.35e-06,0,0.0907,-7.762,0,0.0424,161.863,3,0.496,0UtzermeSqBdfZnBtnZAke
"('Impressioni Di Settembre', 'Premiata Forneria Marconi')",0.48,0.282,344373,0.464,0.0154,0,0.0951,-9.77,1,0.0333,142.159,4,0.324,3n9HTsj2f9IkQ3KlujvqSE
"('Looking For Love', 'Maethelvin')",0.0199,0.697,198727,0.696,0.892,0,0.105,-7.08,1,0.0518,116.997,4,0.29,7erSd5phdveuSWl6XaZ6Z5
"(""I Can'T Sleep"", ""The La'S"")",0.101,0.504,157667,0.926,0.102,1,0.378,-6.488,1,0.0649,134.563,4,0.898,1JCjGV7RMONvsjkdwPOkO9
"('Crematorium', 'Repulsion')",1.42e-06,0.309,88987,0.984,0.939,9,0.275,-2.004,1,0.0972,90.994,4,0.0397,3WS9yPSm0pKy8mRxg1UdRe
"(""When Debbie'S Back From Texas"", 'Stina Nordenstam')",0.684,0.648,248267,0.173,2.38e-06,1,0.0814,-11.67,1,0.0323,95.041,4,0.0831,0gHTUeFmeb0k2led76eJHn
"('The Gnome', 'Pink Floyd')",0.655,0.534,133911,0.353,0,2,0.0975,-12.261,1,0.03,115.978,4,0.371,1GqRmuG89ILDLcuAdcli6r
"('La Galería', 'Ñu')",0.209,0.486,169000,0.398,0,7,0.125,-9.659,0,0.0299,121.425,4,0.238,1L53WRxiXukGM7PR8rla5d
"('I Look Into Mid Air', 'Rex The Dog')",0.0456,0.689,254000,0.62,0.183,9,0.153,-10.771,1,0.0512,127.983,4,0.563,1WTiyYgbuIVqqTy81VBLt7
"('Riding With The King', 'B.B. King & Eric Clapton')",0.0854,0.693,301133,0.489,0.00234,9,0.131,-9.709,0,0.0316,87.085,4,0.262,6gRGLfswEsfpy1UxHEyP6X
"('Death By Chocolate', 'Sia')",0.538,0.461,302600,0.217,4.81e-05,5,0.256,-15.488,1,0.0307,103.115,3,0.193,7wvVNxqVx0XbM5XYZWHqsD
"('Poe Poe', 'Xiu Xiu')",0.186,0.543,220133,0.728,0.748,7,0.0871,-7.317,1,0.0898,128.804,4,0.166,4FtRQCXQvztElAuEXcI5WC
"('Percolator', 'Stereolab')",0.00167,0.515,227067,0.68,0.0696,7,0.136,-8.424,0,0.0285,90.474,3,0.968,7mHp0WR9fqa5zC52QvRU0q
"('Mourning Prayer', 'Electric Wizard')",0.00107,0.246,307707,0.784,0.85,10,0.221,-4.789,0,0.0494,106.431,4,0.403,7y6ouC3Og3jhD5mxpApsii
"('El Llanto De Las Sirenas', 'Narsilion')",0.809,0.116,433813,0.415,0.893,9,0.0637,-7.475,0,0.0369,177.72,3,0.0343,0Rbu3P1sCIA3VKy3yX1tXl
"('Each Day Gets Better', 'John Legend')",0.132,0.73,227827,0.527,0,0,0.328,-9.264,0,0.035,99.948,4,0.602,6ktukGrnG46COzyu2xbPVm
"('Who Found A Lost Rose In The Warship?', 'Ghost')",0.735,0.383,191293,0.637,0.00754,6,0.0709,-9.55,0,0.0373,174.663,4,0.734,2cdOk2Tnf9DRqtiMP1xlWW
"('Squares', 'Lilys')",0.00014,0.45,170667,0.89,0.0066,9,0.878,-4.805,1,0.0337,140.09,4,0.863,4ZpHQNx8Ufe6KdPlngNFFV
"('Tin Omen', 'Skinny Puppy')",0.000879,0.66,278467,0.829,0.0266,11,0.37,-13.518,0,0.0574,125.369,4,0.513,60NdsETuaPSZPJEZxTdQDf
"('You Oughta Know', 'Alanis Morissette')",0.21,0.665,249493,0.834,0,4,0.452,-7.737,1,0.0576,105.292,4,0.411,3jS7bB0oXVOwGFZn3aE5NV
"('Assassin', 'Asian Dub Foundation')",0.000106,0.579,240840,0.889,1.93e-05,11,0.106,-6.547,0,0.0606,155.298,4,0.698,4bgfNHGvhVv0vrS7CV282Q
"('Crushcrushcrush', 'Paramore')",0.000218,0.631,189373,0.793,5.65e-05,1,0.0976,-4.086,0,0.0468,136.96,4,0.648,3VA4sjTMSTTF02hFGmlpJh
"('Going Mobile', 'The Who')",0.248,0.515,221250,0.842,0.00933,9,0.149,-7.475,1,0.0344,136.209,4,0.556,236pPQUEDapfH7Jn6rbhBa
"('Fluorescent Grey', 'Deerhunter')",0.00013,0.269,302693,0.681,0.0909,11,0.101,-8.38,0,0.0342,108.132,4,0.379,6uBvkMAf8qXSos8BN5WI4o
"('Ask Me Now', 'Thelonious Monk Trio')",0.908,0.697,194118,0.233,0.533,3,0.104,-12.438,0,0.0456,67.095,4,0.099,1e1qaYhm7nQaruGsgpPTqb
"('Clap Your Hands!', 'Clap Your Hands Say Yeah')",0.903,0.402,108400,0.485,0.0662,7,0.0931,-8.133,1,0.134,146.638,4,0.424,70aL3AuVkf3YQF7DmqdElB
"('One Week', 'Barenaked Ladies')",0.00854,0.702,169760,0.898,0.000154,9,0.0917,-6.003,1,0.0373,112.845,4,0.731,29hBRadFZf9QTGRHZmxm65
"('Biscuits', 'Fink')",0.21,0.84,233979,0.216,0.108,8,0.085,-10.377,1,0.0486,123.962,4,0.196,2Lf4tLi3S7d8Y9TkMu74b6
"('A Cry For Everyone', 'Gentle Giant')",0.296,0.554,246997,0.592,0.235,0,0.0874,-13.434,1,0.0341,124.302,4,0.859,2Lt9PnHI6gxxTxekrO9BkL
"('The Dope Show', 'Marilyn Manson')",1.19e-05,0.559,226733,0.696,0.000407,4,0.884,-7.746,0,0.0414,134.952,4,0.382,1KQxH1Z1BiSo3MMukVpRfl
"('Cuba', 'Cuba Club')",0.00129,0.801,335160,0.934,0.00678,10,0.227,-6.931,0,0.184,130.002,4,0.659,01IQBnSKMO9eEbAaXGrDiY
"('Learning How To Smile', 'Everclear')",0.0976,0.547,230333,0.91,3.17e-06,10,0.208,-4.893,1,0.0634,99.018,4,0.48,1nCDOQGNXwZ5tHjCQzJsHt
"('Hours Of Wealth', 'Opeth')",0.828,0.287,320453,0.184,0.0654,9,0.105,-14.591,0,0.0359,138.614,4,0.109,1fd8YbOoVAU8KK5ONDOqs9
"('Teppefall', 'Röyksopp')",0.689,0.201,58587,0.244,0.842,7,0.174,-14.834,0,0.0417,114.888,4,0.0804,5jlvtJ8S9STmSGm56lu2LB
"('Bitch', ""Margareds'"")",0.651,0.588,265720,0.552,0.000382,9,0.0568,-8.268,1,0.0233,99.975,4,0.387,006dvTgRPQHCvTscCQlNgG
"('Wedding Song', 'The Psychedelic Furs')",0.000204,0.627,258113,0.618,0.0913,0,0.361,-5.362,1,0.0272,114.727,4,0.638,6rtRk4ZS8knWGkHStKSOw6
"('Sweet Dreams My La Ex', 'Rachel Stevens')",0.0777,0.851,209613,0.868,0.00201,2,0.0939,-3.62,1,0.151,130.037,4,0.901,0O5oSZuSSQhLanMLMmQrRd
"('Cancer', 'My Chemical Romance')",0.358,0.457,142973,0.515,0,4,0.278,-4.31,1,0.0261,74.984,4,0.222,0GgN4MhR5GKn5IcKN0e0rG
"(""Just Can'T Get Enough"", 'Depeche Mode')",0.407,0.759,220893,0.779,0.061,0,0.159,-9.375,1,0.0347,128.211,4,0.918,0xuXRQJfxmdP6gvfDe2Z4L
"('I Love You', 'Yello')",0.0107,0.756,193850,0.838,0.258,10,0.112,-7.79,0,0.0638,125.778,4,0.801,3JGMel50Hoif9AySxeGgep
"('Here She Comes Now', 'Galaxie 500')",0.0478,0.232,358000,0.484,0.232,2,0.421,-7.365,1,0.0292,80.477,4,0.077,0v968u9bMZlrFVCNyr0Eri
"('As The Rush Comes (Gabriel & Dresden Chillout Mix) Featuring Andain', 'Gabriel & Dresden')",0.689,0.515,239427,0.387,0,4,0.126,-7.343,0,0.0567,135.739,4,0.312,2nejvFyJeTDtMRP2nUMt0J
"('Burning Beard', 'Clutch')",0.0169,0.246,240267,0.914,0.000302,7,0.204,-5.751,1,0.17,172.658,3,0.55,6VR2wTjJGtlBnQztwVCbQM
"('Siren', 'Tori Amos')",0.506,0.56,241070,0.827,0.0164,7,0.118,-7.387,1,0.047,89.89,4,0.39,71zaqvfHv6iLqJGE2Ewt7a
"('Growler', 'Fc Kahuna')",0.000265,0.638,422787,0.786,0.754,10,0.231,-7.085,0,0.0399,119.953,4,0.298,4Fl0KG1qFUm1bX6FA5jHGI
"('Never Again', 'Justin Timberlake')",0.832,0.385,274733,0.252,0,1,0.103,-11.758,1,0.0331,138.175,4,0.284,09N8D0V8rZm1JEOmNYKrKr
"('Belgium Or Peru', 'Cuff The Duke')",0.00146,0.543,201867,0.638,1.26e-05,0,0.0914,-7.046,1,0.0285,118.017,4,0.442,62uM5acWFIAicP3QlsIGQ0
"('Thick As Thieves', 'The Jam')",0.00144,0.313,218400,0.93,0.0127,4,0.125,-7.278,1,0.045,166.885,4,0.874,2GfH4yaPhlpNYO4adUvM8j
"('Caller', 'Codebreaker')",0.0311,0.699,226720,0.694,7.74e-05,9,0.192,-6.64,0,0.0335,105.02,4,0.93,3Efiboq5lThFyWCWgN85Qj
"('Pagina Siete', 'Prefuse 73')",0.495,0.676,151320,0.397,0.721,1,0.085,-11.235,0,0.0328,90.04,4,0.552,0xVDKXileCxFEJ9VfEnOuU
"('Dream, Part 49', 'Popol Vuh')",0.995,0.103,454045,0.0579,0.947,1,0.0751,-32.443,1,0.0525,73.921,3,0.0229,3OaB7ufG4sMhapJDLqyKjs
"('Bring On The Night', 'The Police')",0.0538,0.709,255213,0.627,0.0014,4,0.0588,-11.545,0,0.0781,109.555,4,0.726,1fEHgPGxKOfpdWQCvCRGAM
"('More Than Words', 'Extreme')",0.468,0.615,334107,0.129,0,6,0.114,-14.892,1,0.0286,91.769,4,0.249,1gVgkQFOKa8Wc1HYsJtPdH
"('A Neverending Way', 'Orphaned Land')",0.000296,0.383,172293,0.564,0.000184,2,0.111,-7.003,1,0.0342,127.258,4,0.204,7yIsEuqXzkR0O8FKuv7gtl
"('Infected', 'Dive')",0.00744,0.168,232667,0.407,0.907,8,0.339,-13.61,1,0.0367,126.836,4,0.0665,6wE7FDNVC5lgDoDTz6flxR
"('Physical World', 'Freeland')",0.315,0.246,77267,0.536,5.82e-06,10,0.374,-12.787,0,0.107,100.021,5,0.223,4e0YtGuzVv1ys9yzRwqNs9
"('Gehen', 'Swod')",0.869,0.284,287107,0.285,0.56,10,0.111,-16.923,0,0.0287,83.036,4,0.102,4JuXsl4h4vZJjXKMctTrKr
"('Anyway That You Want Me', 'Spiritualized')",0.043,0.424,387547,0.703,0.7,8,0.137,-7.379,1,0.0328,90.651,4,0.0861,7ADb6gZbK7x8YvGdfiEZEp
"('Marina', 'Tombs')",9.97e-05,0.147,136667,0.318,0.822,0,0.109,-10.917,1,0.0541,103.134,3,0.0736,4O2FBBVe5Byi7sgnow0zRn
"('Samba Pa Ti', 'Carlos Santana')",0.961,0.541,172107,0.219,0.884,7,0.0968,-14.426,1,0.0769,86.546,4,0.443,20dOKJh2FECZa2aONx3l5K
"('Hip To Be Square', 'Huey Lewis & The News')",0.0964,0.768,234333,0.829,2.92e-05,5,0.097,-5.109,1,0.0313,118.773,4,0.962,2olVm1lHicpveMAo4AUDRB
"('Space Whale Migration', 'The Daysleepers')",1.53e-05,0.502,206067,0.841,0.846,9,0.221,-7.007,0,0.031,119.97,4,0.532,4BbkW6nzAVx3Y2k5MJ0alb
"('St. Augustine', 'Band Of Horses')",0.74,0.696,161920,0.421,0,11,0.0954,-8.787,1,0.0309,120.198,4,0.176,7KLq2mp9dvGEvAjPsEOHlj
"('Rise', 'Eddie Turner')",0.0101,0.57,306773,0.934,0.819,7,0.286,-6.268,1,0.0722,91.131,4,0.714,3m60ZBC3VMsX1UxIfCVqno
"('Sexual Healing', 'Hot Chip')",0.467,0.758,277680,0.509,0,0,0.105,-11.318,1,0.586,174.025,4,0.644,3blEIY6pUMCgb31bFoLMzz
"('Hung, Drawn And Quartered', 'High On Fire')",0.000191,0.322,267253,0.785,0.645,10,0.156,-8.317,0,0.118,132.291,4,0.394,4Ek4nuARvGIHRBfD5mkS66
"('Anos Dourados', 'Gal Costa')",0.789,0.724,194200,0.539,0.000482,2,0.973,-8.897,0,0.0329,107.418,4,0.554,0fBQLAOi7ev8Sf6BjoG5l0
"('Mabel', 'The Juliana Hatfield Three')",0.364,0.346,258093,0.483,0,9,0.156,-8.352,1,0.0332,111.386,4,0.102,5V5OHgH70AO810rD01Eoo3
"('Toxic', 'Britney Spears')",0.0249,0.774,198800,0.838,0.025,5,0.242,-3.914,0,0.114,143.04,4,0.924,6I9VzXrHxO9rA9A5euc8Ak
"('Skillalude', 'Basement Jaxx')",0.745,0.641,35880,0.794,0.00209,1,0.728,-8.7,1,0.185,115.169,4,0.496,7pgzELS4kwaYcNL2BU4SS0
"('Clean', 'Depeche Mode')",0.000525,0.408,332933,0.554,0.654,7,0.223,-9.484,1,0.032,184.296,3,0.0755,6BnyhvqA12zhsmcvoqwtz4
"('Bliss In Concrete', 'Pelican')",1.41e-05,0.162,330440,0.975,0.808,7,0.189,-4.634,1,0.0713,84.233,4,0.37,3woPaBqVSxszoviowsnhNo
"('As The Rush Comes (Armin Van Buuren Universal Religion Remix)', 'Motorcycle')",0.000542,0.594,592960,0.681,0.577,0,0.362,-10.478,1,0.0399,135.015,4,0.353,3m7UjLW8iBQcv981SOrstz
"('Crimen', 'Gustavo Cerati')",0.44,0.537,232027,0.502,0.0709,4,0.199,-8.406,1,0.025,80.511,4,0.288,7mSfpxC7ScnrCa2kh1i0tv
"('Left In The Dark', 'Meat Loaf')",0.783,0.413,432800,0.514,5.26e-06,11,0.109,-9.641,1,0.0409,124.25,4,0.332,2sGCUQLPb6UjtxUAWwOsrS
"('Florida', 'Modest Mouse')",0.00495,0.498,177827,0.898,0,7,0.352,-3.672,1,0.0413,136.527,4,0.914,5seoy3lNHpqtnBNnqdYoPF
"('Jolly Good', 'Adam Green')",0.733,0.495,122227,0.372,0,0,0.106,-8.191,1,0.0323,85.948,4,0.571,1jugwWbDR8ZvI27r6T2X67
"('Walking Is Still Honest', 'Against Me!')",0.00142,0.554,157613,0.95,0.000457,2,0.144,-4.354,1,0.0402,121.94,4,0.828,5ZmhfMG9rPl7GMTHUOi3Wq
"('Zero', 'The Smashing Pumpkins')",3.39e-05,0.438,160173,0.73,0.553,8,0.0509,-7.105,1,0.0461,128.04,4,0.705,4YFcGTdgmEuw8xTO4XrxbB
"('Amore Disperato', 'Nada')",0.0206,0.532,257653,0.742,1.15e-05,11,0.761,-5.824,1,0.0331,78.98,4,0.653,6Bbdnoc5kXzISnuzvQoIe6
"('Never Seen The Light Of Day', 'Mando Diao')",0.00169,0.213,253013,0.871,0.00996,9,0.0903,-5.046,0,0.0631,156.854,4,0.326,2pgU0wGVGPuApoFIvyvbzZ
"(""Nimrod'S Son"", 'Pixies')",0.0432,0.377,137200,0.85,0.11,6,0.108,-10.89,1,0.0384,134.781,4,0.491,1ElwoqicApTqeYeppeRmht
"('All Alone', 'Gorillaz')",0.00144,0.585,213333,0.809,0.35,7,0.272,-7.837,1,0.125,148.151,4,0.456,76Ug1q4l6rGwJ2ubV5wh3X
"('Bitter Sweet', 'Entwine')",3.6e-05,0.413,162680,0.939,0,1,0.323,-5.628,0,0.0541,103.996,4,0.394,6Df8jM6CZ1AtkDWw7TK7kZ
"('Dulce Locura', 'La Oreja De Van Gogh')",0.343,0.635,230107,0.8,0,2,0.122,-3.47,1,0.0265,132.026,4,0.533,1I3O8YESvj6G6TqHaJTvEU
"('Welcome To The Occupation', 'R.E.M.')",0.0335,0.539,168800,0.761,0,4,0.0851,-10.759,0,0.0362,124.488,4,0.906,0lWmYkUT12Nv9AD8EiKGPt
"('Dem Guten, Schönen, Wahren', 'Amon Düül Ii')",0.00341,0.335,374453,0.477,0.212,2,0.0875,-16.52,1,0.0377,121.583,4,0.66,5htrzkT4IoHRJX52VcR71n
"('Lone Child', 'Frank Black')",0.721,0.601,191213,0.41,0.0292,11,0.105,-13.899,0,0.0914,98.032,4,0.439,00VGSS9J8hQDAWFtjkhksT
"('More Of This', 'Vetiver')",0.279,0.761,240027,0.711,0.152,5,0.112,-5.315,1,0.0299,99.951,4,0.961,6bn1S18L6na82NT6xL4Nae
"('Duk Koo Kim', 'Sun Kil Moon')",0.4,0.188,872667,0.497,0.512,1,0.121,-11.065,1,0.0273,82.65,4,0.268,5LlfYiHiK7xYMuP6NYaR5w
"('Joke About Jamaica', 'The Hold Steady')",0.103,0.268,275493,0.892,0.0103,0,0.319,-4.44,1,0.0837,145.291,4,0.349,6ObTdzFrAEeRVehEYuIdiI
"('Stars', 'Au Revoir Simone')",0.0468,0.697,180880,0.564,0,9,0.0682,-6.744,1,0.03,129.88,4,0.572,6MJr8dIrstEQQSiEdxzLrh
"('Green Eyes', 'Coldplay')",0.539,0.608,223040,0.405,6.7e-06,9,0.231,-8.607,1,0.0265,129.54,4,0.233,3ou9rSNUQnE7XYmJkUUIOc
"(""Things I'Ll Never Say"", 'Avril Lavigne')",0.000598,0.573,223867,0.806,5.28e-06,2,0.142,-5.172,1,0.0326,101.998,4,0.589,3nH2w4Q9yths31lC9C26fT
"('Mystic Bounce', 'Madlib')",0.175,0.778,236040,0.437,0.888,10,0.632,-9.796,0,0.22,122.066,4,0.567,0AFLmw7dnTeg6iNSjY9Qyi
"('Limb From Limb', 'Skeletonwitch')",8.47e-05,0.369,136187,0.973,0.855,4,0.421,-4.67,0,0.122,115.218,4,0.135,3z7BGBl44h3X8ZFn7swbYs
"('Sipping Snake Blood Wine', 'Caural')",0.0122,0.727,257493,0.753,0.475,6,0.105,-8.584,0,0.0395,128.029,4,0.733,7FoUjRNZvrNK1NmxAZUjxZ
"('Sour Times', 'Portishead')",0.0509,0.635,254000,0.63,0.278,8,0.0996,-6.62,0,0.0445,94.134,4,0.533,6vTtCOimcPs5H1Jr9d0Aep
"('Blood Red Skies', 'Judas Priest')",0.00211,0.222,470960,0.889,0.0341,9,0.0678,-7.994,0,0.136,91.513,4,0.0531,7g796noAmjjQOibxStn85a
"('Strings', 'Asobi Seksu')",0.00101,0.233,327867,0.588,0.521,9,0.11,-5.273,1,0.034,148.27,4,0.127,3tjLt1bDcRbnS35xW4QOHy
"('Kill All The White Man', 'Nofx')",0.000959,0.397,168267,0.68,0,0,0.145,-7.511,1,0.102,79.08,4,0.862,1hvLriJAIWn4FhEaUaATUK
"('The Life', 'Squire')",0.0367,0.3,100320,0.757,1.19e-06,4,0.233,-5.991,0,0.0724,157.807,4,0.768,0apCUseCCJcLslBuwykHYi
"('Love Like Winter', 'Afi')",0.000363,0.59,165653,0.912,5.14e-05,10,0.0437,-4.815,0,0.0614,120.008,4,0.535,3cDE9Yn4GrsxSrlMCLdmTT
"('Circuits Of The Imagination', 'Shpongle')",0.00449,0.642,191890,0.725,0.675,7,0.386,-7.471,1,0.0385,89.994,4,0.502,3HquphLKwPAFLiy2ytl9Qt
"('Aldrig Förstå', 'Franke')",0.000147,0.138,148880,0.888,0.176,4,0.377,-0.454,0,0.0732,140.931,4,0.196,4igxWtmejxYaQxTkLOfM27
"('Elbette', 'Ricardo Lemvo')",0.223,0.65,296480,0.423,0,0,0.209,-12.282,0,0.0655,123.929,4,0.778,5NYX6qVhYqV3RQWXWzlTFH
"('Planet Of Sound', 'Pixies')",0.00364,0.432,126333,0.989,0.542,2,0.802,-10.45,1,0.0509,154.851,4,0.0399,7lpjoYktJQwBC1vigyiJGi
"('We Shall Cleanse The World', 'Revolting Cocks')",0.006,0.652,334498,0.997,0.121,4,0.0652,-11.081,1,0.0331,131.403,4,0.671,6VukegNApAUar6WYlMoF8t
"('I Write Sins Not Tragedies', 'Panic At The Disco')",0.0938,0.567,187613,0.795,0,9,0.114,-4.985,0,0.134,170.06,4,0.635,4bPQs0PHn4xbipzdPfn6du
"('Ray Of Hope', 'Martin Orford')",0.376,0.495,233107,0.571,0.00125,8,0.0736,-5.705,1,0.0279,118.068,4,0.457,65IT0LYYe0AfEZ8KAA8odW
"('Is It Medicine', 'The Knife')",0.000427,0.797,142880,0.854,0.0484,7,0.107,-6.208,1,0.0522,119.962,4,0.689,6ZUTGUXzRGr3abx1YUh5LA
"('Drinkswater', 'Beachwood Sparks')",0.441,0.156,432133,0.546,0.682,2,0.106,-10.133,1,0.0353,178.078,4,0.22,7j3lheSlCcDl2fmaoL27bC
"(""This Ain'T A Scene, It'S An Arms Race"", 'Fall Out Boy')",0.000623,0.601,212040,0.888,0,9,0.0475,-4.018,1,0.0396,100.033,4,0.4,1oagRT7LfpVlNJN6FSZDGp
"('Sad Monks Intro', 'Bauchklang')",0.688,0.17,255120,0.111,0.825,7,0.104,-15.322,1,0.0426,112.643,4,0.032,6l88VxKh6DDVUByY60NP2F
"('Total Breakdown', 'Brad Sucks')",0.0158,0.668,138954,0.647,0.000478,10,0.156,-4.759,1,0.035,105.063,4,0.811,2Nl8RMlM3zqajwk7bCAh3z
"('Dirty Deeds Done Dirt Cheap', 'Ac/Dc')",0.214,0.668,231933,0.906,0.00229,11,0.135,-4.881,0,0.17,135.653,4,0.507,2d4e45fmUnguxh6yqC7gNT
"('Calm Down Dearest', 'Jamie T')",0.0196,0.714,280680,0.72,0,2,0.266,-4.867,1,0.0276,110.017,4,0.635,0YbUi2IObUjS3JWzPO5BhW
"('With My Own Two Hands', 'Ben Harper')",0.0179,0.757,274599,0.706,8.64e-05,4,0.154,-6.754,0,0.294,80.528,4,0.872,1Xb8GfUSYCqAkcNrd6pW0M
"('Please Please Me', 'The Beatles')",0.334,0.527,120853,0.48,0,4,0.0702,-9.61,1,0.028,139.388,4,0.706,6EHuOufBeL6vk3TvVJB5qo
"('She Moves On', 'Paul Simon')",0.775,0.656,303507,0.644,0.416,6,0.12,-12.878,0,0.0377,120.942,4,0.943,1RxlMG0bJhJdR5H6wL2oJf
